id,sex,ageM,trialOrd,frm,idtrialOrd,trialNum,pointLR,conf,faceAngRaw,faceAngMod,gazeAngRaw,gazeAngMod,pointLRConf
1,m,18,4,29,1_4,71,L,0.88,0.159,0.1475857,0.11,0.116634428,3.5
1,m,18,4,30,1_4,71,L,0.88,0.161,0.149664295,0.112,0.118711627,3.5
1,m,18,4,31,1_4,71,L,0.88,0.158,0.1475758,0.11,0.117525544,3.5
1,m,18,4,32,1_4,71,L,0.88,0.162,0.15116171,0.114,0.121157333,3.5
1,m,18,4,33,1_4,71,L,0.88,0.163,0.152979287,0.115,0.122898578,3.5
1,m,18,4,34,1_4,71,L,0.88,0.161,0.151153359,0.114,0.122036778,3.5
1,m,18,4,35,1_4,71,L,0.88,0.158,0.147996269,0.111,0.118885192,3.5
1,m,18,4,36,1_4,71,L,0.88,0.159,0.148677821,0.112,0.119584664,3.5
1,m,18,4,37,1_4,71,L,0.88,0.159,0.147662358,0.112,0.118589869,3.5
1,m,18,4,38,1_4,71,L,0.88,0.15,0.137572602,0.104,0.109402267,3.5
1,m,18,4,39,1_4,71,L,0.88,0.163,0.149948042,0.111,0.115897526,3.5
1,m,18,4,40,1_4,71,L,0.88,0.129,0.114529876,0.086,0.089322324,3.5
1,m,18,4,41,1_4,71,L,0.88,0.096,0.077903944,0.06,0.05987307,3.5
1,m,18,4,42,1_4,71,L,0.88,0.04,0.016923453,0.018,0.013158678,3.5
1,m,18,4,43,1_4,71,L,0.88,-0.02,-0.048346351,-0.026,-0.035902759,3.5
1,m,18,4,44,1_4,71,L,0.88,-0.02,-0.048539124,-0.027,-0.037073655,3.5
1,m,18,4,45,1_4,71,L,0.88,-0.074,-0.106706682,-0.068,-0.082179635,3.5
1,m,18,4,46,1_4,71,L,0.88,-0.113,-0.149061228,-0.1,-0.117534346,3.5
1,m,18,4,47,1_4,71,L,0.88,-0.14,-0.179031726,-0.12,-0.140536031,3.5
1,m,18,4,48,1_4,71,L,0.88,-0.158,-0.199228236,-0.134,-0.156785068,3.5
1,m,18,4,49,1_4,71,L,0.88,-0.164,-0.207925601,-0.143,-0.168519433,3.5
1,m,18,4,50,1_4,71,L,0.88,-0.166,-0.211581299,-0.146,-0.173212306,3.5
1,m,18,4,51,1_4,71,L,0.88,-0.162,-0.207211845,-0.143,-0.169896071,3.5
1,m,18,4,52,1_4,71,L,0.88,-0.171,-0.217758117,-0.15,-0.178363025,3.5
1,m,18,4,53,1_4,71,L,0.88,-0.17,-0.217496958,-0.149,-0.178123316,3.5
1,m,18,4,54,1_4,71,L,0.93,-0.169,-0.216647538,-0.149,-0.178277022,3.5
1,m,18,4,55,1_4,71,L,0.88,-0.164,-0.211274221,-0.145,-0.173863772,3.5
1,m,18,4,56,1_4,71,L,0.88,-0.161,-0.207842216,-0.143,-0.171476396,3.5
1,m,18,4,57,1_4,71,L,0.88,-0.155,-0.200969237,-0.138,-0.165603678,3.5
1,m,18,4,58,1_4,71,L,0.88,-0.147,-0.191921381,-0.132,-0.158595087,3.5
1,m,18,4,59,1_4,71,L,0.88,-0.161,-0.204804733,-0.138,-0.163415932,3.5
1,m,18,4,60,1_4,71,L,0.88,-0.152,-0.195080908,-0.133,-0.157797076,3.5
1,m,18,5,1,1_5,62,R,0.88,0.119,0.097339016,0.073,0.069773318,4
1,m,18,5,2,1_5,62,R,0.88,0.115,0.093467938,0.071,0.067859944,4
1,m,18,5,3,1_5,62,R,0.88,0.113,0.091484976,0.07,0.06686243,4
1,m,18,5,4,1_5,62,R,0.88,0.111,0.089581039,0.068,0.064943999,4
1,m,18,5,5,1_5,62,R,0.88,0.108,0.086498586,0.066,0.062864415,4
1,m,18,5,6,1_5,62,R,0.88,0.109,0.087562394,0.067,0.063941338,4
1,m,18,5,7,1_5,62,R,0.88,0.108,0.086562394,0.066,0.062941338,4
1,m,18,5,8,1_5,62,R,0.88,0.107,0.085594086,0.064,0.061013877,4
1,m,18,5,9,1_5,62,R,0.88,0.106,0.084646286,0.064,0.061089515,4
1,m,18,5,10,1_5,62,R,0.88,0.103,0.081737504,0.062,0.059170522,4
1,m,18,5,11,1_5,62,R,0.88,0.103,0.081752681,0.062,0.059172543,4
1,m,18,5,12,1_5,62,R,0.88,0.093,0.071717269,0.054,0.051099193,4
1,m,18,5,13,1_5,62,R,0.88,0.088,0.066718954,0.05,0.047099423,4
1,m,18,5,14,1_5,62,R,0.88,0.083,0.061740826,0.045,0.042102405,4
1,m,18,5,15,1_5,62,R,0.88,0.078,0.056781087,0.04,0.037107894,4
1,m,18,5,16,1_5,62,R,0.88,0.072,0.050821195,0.036,0.033113362,4
1,m,18,5,17,1_5,62,R,0.88,0.063,0.041605172,0.03,0.026879963,4
1,m,18,5,18,1_5,62,R,0.88,0.063,0.041529878,0.029,0.025801758,4
1,m,18,5,19,1_5,62,R,0.88,0.056,0.034297313,0.024,0.020566211,4
1,m,18,5,20,1_5,62,R,0.88,0.049,0.026900603,0.018,0.014172192,4
1,m,18,5,21,1_5,62,R,0.88,0.039,0.01659126,0.011,0.006858388,4
1,m,18,5,22,1_5,62,R,0.88,0.032,0.009163945,0.005,0.000458215,4
1,m,18,5,23,1_5,62,R,0.88,0.034,0.011147744,0.005,0.000454991,4
1,m,18,5,24,1_5,62,R,0.88,0.032,0.009147744,0.005,0.000454991,4
1,m,18,5,25,1_5,62,R,0.88,0.032,0.009244492,0.005,0.000537361,4
1,m,18,5,26,1_5,62,R,0.88,0.035,0.012298209,0.007,0.002611308,4
1,m,18,5,27,1_5,62,R,0.88,0.037,0.014448769,0.008,0.003767723,4
1,m,18,5,28,1_5,62,R,0.88,0.036,0.013552418,0.008,0.003851206,4
1,m,18,5,29,1_5,62,R,0.88,0.034,0.011652322,0.006,0.001933865,4
1,m,18,5,30,1_5,62,R,0.88,0.033,0.010652322,0.006,0.001933865,4
1,m,18,5,31,1_5,62,R,0.88,0.032,0.009898864,0.005,0.001171891,4
1,m,18,5,32,1_5,62,R,0.88,0.032,0.010042373,0.005,0.001326982,4
